时间,sx,,重新排序列,dx
2017\8\8 10:58,71,,1770,35
2017\8\8 11:00,95,,1771,47
2017\8\8 11:02,101,,1772,50
2017\8\8 11:04,66,,1773,33
2017\8\8 11:06,86,,1774,43
2017\8\8 11:08,118,,1775,59
2017\8\8 11:10,107,,1776,53
2017\8\8 11:12,140,,1777,70
2017\8\8 11:14,135,,1778,67
2017\8\8 11:16,55,,1779,27
2017\8\8 11:18,114,,1780,57
2017\8\8 11:20,88,,1781,44
2017\8\8 11:22,99,,1782,49
2017\8\8 11:24,84,,1783,42
2017\8\8 11:26,121,,1784,60
2017\8\8 11:28,91,,1785,45
2017\8\8 11:30,117,,1786,58
2017\8\8 11:32,85,,1787,42
2017\8\8 11:34,64,,1788,32
2017\8\8 11:36,99,,1789,49
2017\8\8 11:38,108,,1790,54
2017\8\8 11:40,79,,1791,39
2017\8\8 11:42,75,,1792,37
2017\8\8 11:44,114,,1793,57
2017\8\8 11:46,91,,1794,45
2017\8\8 11:48,86,,1795,43
2017\8\8 11:50,131,,1796,65
2017\8\8 11:52,63,,1797,31
2017\8\8 11:54,82,,1798,41
2017\8\8 11:56,96,,1799,48
2017\8\8 11:58,77,,1800,38
2017\8\8 12:00,71,,1801,35
2017\8\8 12:02,89,,1802,44
2017\8\8 12:04,72,,1803,36
2017\8\8 12:06,92,,1804,46
2017\8\8 12:08,88,,1805,44
2017\8\8 12:10,113,,1806,56
2017\8\8 12:12,54,,1807,27
2017\8\8 12:14,121,,1808,60
2017\8\8 12:16,96,,1809,48
2017\8\8 12:18,84,,1810,42
2017\8\8 12:20,101,,1811,50
2017\8\8 12:22,97,,1812,48
2017\8\8 12:24,59,,1813,29
2017\8\8 12:26,97,,1814,48
2017\8\8 12:28,82,,1815,41
2017\8\8 12:30,78,,1816,39
2017\8\8 12:32,87,,1817,43
2017\8\8 12:34,79,,1818,39
2017\8\8 12:36,109,,1819,54
2017\8\8 12:38,85,,1820,42
2017\8\8 12:40,91,,1821,45
2017\8\8 12:42,43,,1822,21
2017\8\8 12:44,80,,1823,40
2017\8\8 12:46,103,,1824,51
2017\8\8 12:48,79,,1825,39
2017\8\8 12:50,78,,1826,39
2017\8\8 12:52,121,,1827,60
2017\8\8 12:54,62,,1828,31
2017\8\8 12:56,112,,1829,56
2017\8\8 12:58,78,,1830,39
2017\8\8 13:00,97,,1831,48
2017\8\8 13:02,112,,1832,56
2017\8\8 13:04,71,,1833,35
2017\8\8 13:06,89,,1834,44
2017\8\8 13:08,125,,1835,62
2017\8\8 13:10,112,,1836,56
2017\8\8 13:12,129,,1837,64
2017\8\8 13:14,107,,1838,53
2017\8\8 13:16,73,,1839,36
2017\8\8 13:18,133,,1840,66
2017\8\8 13:20,112,,1841,56
2017\8\8 13:22,77,,1842,38
2017\8\8 13:24,70,,1843,35
2017\8\8 13:26,87,,1844,43
2017\8\8 13:28,85,,1845,42
2017\8\8 13:30,79,,1846,39
